Define GDP.	The total value of all final goods and services produced within a country over a specific period.
Why does GDP count only "final" goods and services?	To avoid double-counting intermediate goods.
Why is GDP the most widely used measure of economic output?	Because it is simple, standardised and internationally comparable.
Who estimates GDP in New Zealand, and using what?	Stats NZ, using surveys, administrative data and government financial information.
Write the expenditure formula for GDP.	GDP = C + I + G + (X - M).
What is C in the GDP formula?	Consumption - household spending on final goods and services.
What is I in the GDP formula?	Investment - business spending on capital goods such as buildings, machinery and equipment, plus inventory growth.
What is G in the GDP formula?	Government spending - government purchases of goods and services, excluding transfer payments.
What is excluded from government spending in GDP?	Transfer payments.
What is (X - M) in the GDP formula?	Net exports - exports of goods and services minus imports.
Why are imports subtracted from GDP?	Because they are counted in the country where they are produced, so subtracting them avoids double counting.
What does the production approach to GDP sum?	The value added throughout the value chain.
What does the income approach to GDP sum?	Incomes generated by people and business - wages, rent, interest and profits.
Should the three GDP approaches agree?	Yes - they should all give the same total.
Roughly what is New Zealand's GDP?	About $430 to $450 billion.
Roughly what is the United States' GDP?	About $30 trillion.
What is GDP per capita used for?	Comparing living standards between countries.
How is GDP per capita calculated?	GDP divided by population.
What three things is high GDP per capita generally associated with?	Stronger institutions, higher educational attainment, and higher productivity.
What is New Zealand's GDP per capita and global rank?	$48,231 USD in 2025, 46th globally.
Which country tops the GDP per capita ranking, and at what value?	Luxembourg, at about $140,941 USD.
What do the top GDP per capita countries have in common?	They are small - Luxembourg, Ireland, Switzerland, Singapore - so the driver is productivity, not size.
What does "stronger institutions" mean in practice?	Lower corruption, less bureaucracy, and being easy to collaborate in.
What does purchasing power parity adjust for?	Cost of living - how far a dollar actually goes in each country.
Which country has the largest economy under purchasing power parity?	China, rather than the United States.
Give Treasury's statement on why productivity matters.	Productivity is the biggest long-run determinant of wages and living standards; raising living standards depends on raising output per worker and the value they add.
How is productivity commonly measured?	GDP per hour worked.
What is New Zealand's GDP per hour worked?	$93.56 NZD, or $57.07 USD, at an average of 37 hours a week.
What is Australia's GDP per hour worked?	$121.38 AUD, or US$78.90, at 31.2 hours a week.
What is the OECD average GDP per hour worked?	US$70.62, at 37.1 hours a week.
Why is New Zealand's productivity below the OECD average?	Because of what we produce - low value-added commodities - not because people work less hard or fewer hours.
How did New Zealand's productivity compare to Scandinavia in the 1970s?	It was on par with the Scandinavian countries.
What did Scandinavian economies invest in that New Zealand did not?	High-value industries - pharmaceuticals, software and financial institutions.
Which industries has New Zealand stayed in?	Forestry, dairy and meat - primary industries with little value added.
