Who delivered ENGGEN403 Lecture 13?	Peter Rachor, who also taught ENGGEN 303.
What is the primary focus of the Team Project?	Learning how to apply the resources of a team - the collective wisdom and expertise of about 35 people - against a project.
What was the Team Project formerly called, and why was it renamed?	The Mini Systems Project - renamed to emphasise that the point is the team, not just a smaller systems exercise.
How large is a Team Project team, and how long is the project?	About 35 people, and about eight hours.
Is the Team Project problem chosen or assigned?	Assigned - the brief is revealed on the Friday before the project week.
Name three goals of the Team Project.	Test-driving systems thinking concepts on a real wicked problem; appreciating how to structure and operate high-performing teams; and optimising team approaches, roles and personalities to prepare for the Systems Project.
What carries over from the 303 double diamond?	The structure of a problem space and a solution space.
What changes about the double diamond in 403?	The problem is assigned rather than chosen, the problem space is far more complex, the stakeholders are much more complex, and understanding the problem matters even more.
Where do 303 and 403 sit on the Head matrix?	303 sits in the tame corner with clear problems and constrained solutions; 403 sits in the very wicked corner.
Why is intervention a better word than solution?	Because you are very unlikely to solve a wicked problem - you can only influence or shift it in an attempt to have a positive impact.
What does slide 12 warn about systems thinking tools?	Tools, not a pathway to a specific solution - they are not computational, they help you understand the situation and contemplate choices, but they will not give you the answer.
Is there a correct way to structure a 35-person team?	No - most years no two teams are the same.
Give one example team structure from a past cohort.	A strategic case group, an economic case group, and an editorial team doing the writing, proofreading and diagrams.
Give a second example team structure.	Sub-team leaders over team members, with editors embedded in each sub-team - or a split by research, editing and quality control.
What is the counter-intuitive difficulty of a 35-person team?	Having too much resource - the challenge is dividing work so everyone's expertise and bandwidth is used rather than relying on a handful of people.
When should a team settle its structure?	On the Thursday session, before the brief is released, so no time is lost once the project starts.
What habit from smaller projects breaks at Team Project scale?	Doing the work and managing the work at the same time - managing a large group is itself a substantial body of work.
What was the all-nighter failure story?	A team leader rewrote work himself and stayed up all night, when he should have leveraged the team and put editing processes in place.
Does the doing-versus-managing point apply only to the overall leader?	No - even a sub-team leader may have so much coordination work that they contribute little personally to the detail.
Name four kinds of team drama the lecturer anticipates.	Disputes over who does how much work, someone getting bogged down, someone becoming unwell, and someone who believes they should be leading but did not get the role.
What does the lecturer say about the imperfection of team output?	Everyone has to contribute to something that will be inherently imperfect, and that will be true for the rest of your life.
What is the purpose of the team charters done in 204 and 303?	To prepare you for this point, by having already determined how the team will handle conflict and manage projects.
How does shared understanding of the problem change at 35 people?	A subset of the team develops the understanding and communicates it, so most members have limited input into how the problem was framed.
