What is the role of a business case in a decision?	It informs the decision-maker; it does not make the decision.
What does a business case justify?	Why a project should be undertaken - why the change is needed.
Which option must every business case include?	The do-nothing option.
Why is do-nothing always included?	Every other option costs money that could be invested elsewhere, so do-nothing is the baseline for value for money.
Is do-nothing free?	No - you must analyse the social impacts of not acting.
What builds confidence among decision-makers in a business case?	Detailed, recorded, robust assumptions.
Besides business cases, what determines how government allocates its fixed budget?	Political values and the judgement of the decision-makers.
What was the original City Rail Link business case year?	2015.
What is the Central Interceptor?	A 16 km, 4.5 m diameter wastewater tunnel preventing flooding and sewer overflow.
Why is the Central Interceptor a good example of a systems business case?	Its benefits are social (flood and overflow prevention), not revenue.
What options are being weighed for the earthquake-prone Wellington Museum?	Sell, demolish, relocate artefacts, upgrade it themselves, or seek local/central government funding.
In ENGGEN303 the key stakeholder was the customer. Who is it in 403?	Government agencies and ministries, communities, the public, iwi, business, regulators and future generations.
How does problem scope change from 303 to 403?	Problems stop affecting one customer group and affect everyone, to different degrees.
How is success measured at systems level?	By balancing economic, social, environmental, cultural and long-term outcomes for everyone - not profitability.
Which organisation recommends the Better Business Case framework?	Treasury.
Name the five cases in the Better Business Case framework.	Strategic, economic, commercial, financial, management.
What question does the strategic case answer?	Why do we need to change - what is the case for change?
What question does the economic case answer?	What are the options, and what are their pros and cons?
What question does the commercial case answer?	Can it be procured and delivered in the real market?
What question does the financial case answer?	Is the preferred option affordable and within budget?
What question does the management case answer?	What is the plan for delivery?
Which of the five cases is out of scope in ENGGEN403?	The commercial case.
When does an investment need only a single business case?	When it is simple and low-risk.
When is a staged business case process required?	For larger, more complex, higher-risk (higher-cost) investments.
Name the three stages of a staged business case process.	Indicative business case, detailed business case, full implementation case.
Which case does the indicative business case focus on?	The strategic case - why change is needed and what to investigate further.
Which cases does the detailed business case focus on?	Economic, commercial and financial - it fully develops the preferred option.
What does the detailed business case confirm?	The costs, benefits and risks of the preferred option.
What is an off-ramp in the business case process?	A staged approval point where decision-makers can give a no-go before more money is spent.
Why do off-ramps exist?	So a project can be stopped early instead of being cancelled after tens of millions in planning and consulting.
What are your options if an indicative case shows an unaffordable cost?	Go back and change the case, pivot to a different problem, or solve it a different way.
What happened to Auckland Light Rail?	Cancelled in 2023 after a change of government, with costs having risen from about $6 bn to $15-17 bn.
What is the supporters' argument for cancelling a project like Auckland Light Rail?	The ballooning costs meant the original assumptions no longer held, so there was no longer value for money.
