Name the four learning outcomes of Lecture 10.	Explain the difference between central and local government; understand how decisions are made in government; appreciate where technical expertise is required in the policy process; understand that government is a complex system of systems where change generally happens slowly.
What is wrong with a recommendation that says government should do this?	Government is not one stakeholder - you must specify which part of which ministry advises which minister to advocate in cabinet for which decision, and how local government responds.
What does central government do?	Makes laws for the whole country.
What does local government do?	Makes local decisions, for example on local amenities and environments.
Why do systems problems need both levels of government?	Central government sets broad policy, but local government enacts and resources it - doing the recycling, resourcing the food banks.
Why is the central-local interface a boundary condition?	Because what is good for the whole country from Wellington often conflicts with what is good locally, so it must be navigated with relationships to find what works for both.
Name the three local government structures in New Zealand.	Regional Councils, Territorial Authorities or Councils, and Unitary Authorities.
What kind of authority is Auckland?	A Unitary Authority with an elected Mayor who chairs Auckland Council.
How many local boards report to Auckland Council?	Twenty-one, with around 150 members.
Why is New Zealand's local government structure so varied?	One size does not fit all - structures evolved to suit their locality, so Auckland needs something very different from Kaipara or Nelson.
Name four things Auckland Council manages.	Emergency management, planning and consents, pools and beaches and parks, public spaces, and waste and water quality.
Can an Auckland mayor simply decide something?	No - there is no party structure, so the mayor must find a majority among the other twenty councillors; a mayor who disagrees with all of them can get nothing done.
What gates did Wayne Brown's swimming pool have to pass?	Advice from policy officials, support from at least half the councillors, support from the relevant local board, and getting the budget through.
What is the difference between the council organisation and the governing body?	The governing body is elected and changes; the organisation is the chief executive and staff who stay on, carrying institutional knowledge.
What is a council-controlled organisation?	An organisation not part of the council but controlled by it, used to keep something at arm's length - Auckland Transport was one until recently.
Name the two categories of people working in government.	Elected politicians who are Members of Parliament, and appointed public servants.
What is distinctive about New Zealand public servants?	They are not political appointments - they keep their job whoever wins the election.
What two things do public servants do?	Provide independent advice to politicians, and do the work to implement laws and make changes.
How did the roles of Jacinda Ardern and Ashley Bloomfield differ?	Ardern was the elected Prime Minister; Bloomfield was the appointed Director-General of Health, who served under Ardern, Hipkins and Luxon.
What follows from directors-general outlasting prime ministers?	Institutional knowledge is retained, advice stays independent, and the politics of the day does not completely control the policy.
Is the New Zealand public service completely immune from political influence?	No - governments tend to appoint people more aligned with their position as public servants retire, but New Zealand scores very highly internationally on public service independence.
Who should technical advice be aimed at, and why?	Public servants rather than politicians - they hold the institutional knowledge, write the advice, and survive elections.
Name the five sources for finding the government's policy work programme.	Manifesto commitments and coalition agreements; 100-day plans; briefings for incoming ministers; ministerial priorities and portfolio work programme decisions; and flexibility maintained for emerging issues and crises.
What is a BIM?	A Briefing for Incoming Ministers - advice from departments to a new minister setting out the issues and policy levers they would have on their radar.
Why are BIMs especially useful?	They carry departmental institutional knowledge and are not susceptible to political winds of change.
Why does New Zealand usually have coalition governments?	Under mixed member proportional representation no single party tends to win an overall majority - it has happened only once in recent memory.
Roughly how many government departments are there?	About 41, though the number changes as departments merge, shrink or disappear.
Name the five stages of the advice chain for how change happens.	Agencies providing policy advice, ministers, cabinet, parliament, and agencies again for implementation and evaluation.
Where does the advice chain most often break?	Between minister and cabinet - ministers may be convinced but unable to convince cabinet colleagues, since they compete for resource and priority.
Give an example of a cabinet decision struggling in Parliament.	The free trade agreement with India, where New Zealand First withdrew support and Labour stepped in to get it through.
Are cabinet deliberations public?	No - those meetings are private, so the mechanism of decisions is unknown from outside.
Name the three phases of the budget cycle with their timing.	Strategic phase June to November or December; decision phase December or January to April; budget day generally in May.
What happens in the budget strategic phase?	Strategy and spending priorities are set.
What happens in the budget decision phase?	Ministers put forward initiative bids, Treasury assesses them and makes recommendations, and Budget Ministers take a preferred package to Cabinet for final decision.
What is Treasury's role in the budget?	To take an independent look at every department's bid and judge whether it is good value for money or affordable.
When do departments learn whether their initiatives were funded?	On budget day - everything is secret until then.
What is the difference between baseline and new funding?	Baseline is committed multi-year funding that is difficult to change and tends to involve job losses; new funding is the additional money announced each budget.
Which type of budget funding do headline numbers refer to?	New funding, not baseline.
What did health receive in new funding in Budget 2025?	.5 billion for hospitals and specialist services, plus  billion for additional cancer treatments.
What did education receive in Budget 2025?	 million for children with additional learning needs,  million for maths and early intervention, and  million to lift school attendance.
Which budget should be used for the 2026 assignments?	Budget 2026 - Budget 2025 appears in the slides only because the exemplar projects used its numbers.
How is the Living Standards Framework used in the budget process?	Its indicators inform advice to ministers on budget priorities; agencies outline and quantify non-financial impacts; and trade-offs and synergies are summarised in advice.
Give an example of a Living Standards Framework trade-off statement.	An initiative saves a billion dollars in borrowing interest, but the agreed indicators suggest ten thousand more children may fall into poverty, so an offsetting investment may be needed.
Who ultimately decides on trade-offs?	Ministers - they may take or ignore the advice, because they are democratically elected.
Name the six stages of the policy process.	Problem definition or opportunity; objectives; options identification; options analysis and cost-benefit; approach to implementation, monitoring and evaluation; and advising the minister.
What three questions sit under problem definition?	What are the current settings; what is the problem and what will happen if we do not change the settings; and who is most affected.
What two questions sit under objectives?	What is the Government trying to achieve, and how will we know if we are achieving it - what criteria will we use to assess options.
What three questions sit under options identification?	What is the scope of options and is anything off the table; can we meet the objectives without regulatory change; and what do other countries do.
What three questions sit under options analysis?	How do options measure up against the criteria; what is the benefit compared to the status quo; and what are the costs and is funding required.
What three questions sit under implementation, monitoring and evaluation?	Who will deliver, when will it be implemented, and how will we know if it has been successful.
What three things go into advice to the minister?	Process and recommendations, risks, and forward process.
How does the policy process map onto the business case?	Problem definition is the strategic case, objectives and criteria are the CSFs, options identification is the long list, options analysis is the economic and financial case, implementation is the management case, and advising the minister is the preferred way forward.
State the regulation ladder.	Doing it under existing powers is easiest, a regulation change is hard, and a law change is even harder because it requires many more steps.
Which Act allowed the plastics recommendations to be actioned?	The Waste Minimisation Act 2008.
Which Act allowed the fisheries recommendations to be actioned immediately?	The Fisheries Act.
What happens if a recommendation falls outside existing legislation?	It requires new legislation, which can take years and slows everything down.
At which policy process stages do officials usually seek expert engagement?	Objectives, options identification, and options analysis.
Where do advisers wish more expertise were sought?	In figuring out how to measure and monitor - the implementation and evaluation stage.
What is the second, contested channel for technical advice?	Advising the minister or Prime Minister directly at the end of the process, rather than through expert consultation during it.
What three things does Cabinet do?	Considers cabinet papers and makes formal policy decisions, proposes laws to Parliament, and approves funding for policy changes.
Why do ministers get swapped between portfolios?	Among other reasons, because someone else is better at getting things done - which means convincing cabinet their priority beats other portfolios.
Name the stages of the legislative pipeline.	Ideas, pre-introduction, first reading, select committee, second reading, committee of the whole house, third reading, final stages.
What is a select committee for?	Politicians from across the political spectrum trying to find holes in proposed laws and pick up counterfactuals before the draft goes back to Parliament.
What are the three contested things that make modern politics messy?	Contested values, contested value of evidence, and contested measures.
What is not suited to solving long-term problems?	Polarisation and short-term thinking.
What did the Question Time clip demonstrate?	Two people with probably shared values talking past each other, framing on the economy versus child poverty, with contested values, evidence and measures of success.
How does a change of Prime Minister relate to leverage points?	Political choices set the goals of the system, which is Meadows' leverage point three - a different Prime Minister means different goals and a differently behaving system.
Why does change in government happen slowly?	Because of the complexity of government systems and the number of checks and balances.
What is the Obama and Trump test for your view on slow government?	Obama's science advisors spent four years wishing things moved faster, then under Trump spent two years grateful that they did not - so ask whether you would still want speed if you disagreed with those in charge.
What was the problem in the immigration settings example?	There were not enough people to pick fruit, wasting export produce and GDP, because New Zealand relies on overseas workers.
Trace the immigration example through the five stages.	MBIE policy defined the problem and options with expert and community engagement; Minister Erica Stanford set direction and took it to Cabinet; Cabinet decided and approved funding; Parliament passed anything needed; and Immigration New Zealand implemented the operational manual, IT changes and new rules for immigration officers.
What consultation did the immigration policy work involve?	A trip around the Pacific to hear from workers, and talking to about 200 horticultural growers, as well as policy people and ministers.
What made the immigration change relatively fast?	Little or no law change was required, and the problem-owner was the party asking for it.
What is a never again moment?	A crisis after which there is agreement across all sides that change is needed, allowing the usual steps to be bypassed.
Give the example of a never again moment and its speed.	Gun law change after the Christchurch mosque shooting, achieved in under three months with cross-party consensus.
Who appeared together in the post-shooting photograph?	The Prime Minister, the Leader of the Opposition, the Deputy Prime Minister, the Mayor, and the local MP.
What is the cost of moving fast in government?	You cut through the layers and lose the checks and balances - fine with good decisions, but with poor ones you would wish you had gone slower.
How long do states of emergency usually last?	Around a week for events like Whakaari, up to a month for weather events - though COVID lasted much longer.
What is the risk of a prolonged state of emergency?	The longer it lasts, the harder it is to justify bypassing normal processes, and losing the checks and balances can threaten social cohesion.
Who delivered ENGGEN403 Lecture 10?	Juliet Gerrard.
