What did the PMCSA provide?	Independent advice to the Prime Minister on science in its very broadest sense.
Are there other Chief Science Advisors besides the PM's?	Yes - across Health, Environment, Justice, Treasury, Transport, Education, Conservation and many other agencies.
Is science the only advice a government receives?	No. Science is never the only advice.
What are science's two named strengths in a policy setting?	Defining the problem, and identifying options.
What does science struggle with in a policy setting?	Definitive timely answers.
Why does science's weakness matter politically?	Politicians have to make decisions within defined timeframes.
Who bridges the gap between science and political decision-making?	Policy makers.
What is said about presenting the facts?	Presenting the "facts" rarely changed anyone's mind.
State the warning about proxy debates.	Science debate should not be a proxy for values debate.
Name the three types of science advice.	Proactive with recommendations, proactive public-facing explainers without recommendations, and reactive.
Give two examples of proactive advice with recommendations.	Plastics and AI in healthcare (also commercial fisheries, antimicrobial resistance, food waste).
Give two examples of public-facing explainers without recommendations.	5G and cannabis (also fluoride and nitrate).
Give two examples of reactive advice.	The mosque shooting and Whakaari White Island (also COVID-19).
Why do explainers deliberately omit recommendations?	They cover contested-values topics, where recommending invites the science to be attacked as a proxy for the values fight.
Why is plastic a wicked rather than merely complex problem?	Microplastics are already everywhere in everything, so it is probably not solvable - only ameliorable.
What property made plastic attractive, and why was that ironic?	It was hard to destroy and very stable - which is exactly why it will not go away.
Roughly how much plastic had been made at the time of the report?	About 8.3 billion tonnes.
What was the plastics report's tagline?	Make best practice, standard practice.
What did the tagline imply about the recommendations?	They were largely not new technical insights, but good existing practice that could be adopted more widely and scaled.
Name three of the six plastics report themes.	A national plastic action plan; embed rethinking plastic in government; consistent design, use and disposal (also innovate and amplify, tackle environmental and health impacts, collect data).
Name four conditions that helped the plastics report land.	A committed minister, public pressure including letters from children, polling showing plastic as the top environmental concern, and easy expert panel recruitment.
What caveat did the lecturer give about plastic being the top public concern?	It was probably not the most important issue - tractability and importance are different things.
What happened after the plastics report launched?	Policy officials' work, advice to accept, Cabinet approval, and a commitment in the 2020 Speech from the Throne.
Name three single-use items phased out in the August 2020 announcement.	Plastic straws, drink stirrers, and produce bags (also tableware and non-compostable fruit stickers).
What happens to the technical adviser once recommendations are accepted?	They step away; it is up to politicians and policy people to implement.
Why did the polystyrene clamshell phase-out take time?	Replacement products had to be found that worked and that suppliers accepted, and existing stock had to be used up.
Did the plastics work survive a change of government?	Yes - by 2024 the waste transformation plan was still in play and the plastics 1, 2 and 5 recommendation went through under the new coalition.
Which recommendation appeared in every report over six years?	Collecting data.
Why is data collection hard to fund?	Governments want to announce shiny new policies that make a difference now; data is resource-intensive and hard to get public support for.
Why is data collection nonetheless argued to be the best investment?	It is what lets you test whether all the other policies actually worked.
In the plastics data picture, what was essentially unknown?	How much plastic is lost to the environment.
What instruction follows from the absence of clean data?	Understand your level of confidence, and map that uncertainty through to your options and recommendations.
Name the three crises handled reactively during the PMCSA tenure.	The Christchurch mosque shooting, the Whakaari White Island eruption, and COVID-19.
What did the mosque shooting advice inform?	What became the Christchurch Call.
What was the operative question after the Whakaari eruption?	What is the probability of a second eruption?
Name three elements of the volcanic risk communication machinery.	The NZ Volcano Science Advisory Panel, consistent messaging, and media engagement.
Why does consistent messaging matter in a crisis?	So experts do not contradict each other in public while people are making safety decisions.
What does Volpara Health do?	Image analysis of mammograms, providing a breast density score - an independent breast cancer risk factor.
How widely is Volpara used?	In over 40% of US breast cancer screenings.
What does Formus do?	Builds a 3D model of the hip joint so surgeons can plan interventions virtually - "plan from a scan" in under an hour.
What problem does Formus solve for surgeons?	Previously they could not know the size and shape of the implant needed until they opened the patient up.
What evaluation problem is specific to AI tools?	The tool keeps changing itself, so it may make new mistakes after you have evaluated it.
Why does an AI plus a person beat two people or two AIs on a radiology scan?	Because humans and AI make different types of mistakes, so their errors are decorrelated.
Name three considerations for AI in the national context.	Evaluation tools for fitness for purpose, maintaining public social license, and supporting clinicians to trust the tools.
Name four of the eight AI-in-healthcare themes.	Mapping the landscape, maintaining the human element of care, enabling adoption, establishing confidence and trust (also tackling inequity, te ao Maori, data and systems, exploring future opportunities).
How is "maintaining the human element of care" made concrete?	If AI takes the notes, clinicians are more available for caring and eye contact.
What is said about AI and data quality?	AI is only as good as the data it is fed; if the data is a shambles the output will be too.
Name three of the six AI guiding principles.	Implementing Te Tiriti o Waitangi and recognising tikanga Maori, safe and effective AI, and AI for equity.
What are the three possible fates of science advice?	It may be used well, misused, or ignored.
Why did the gangs report fail to land?	The government and its position on crime changed between commissioning and delivery, so a harm-based report no longer suited the new policy direction.
What went wrong in the gangs report media handling?	A soundbite was played to the Leader of the Opposition, who dismissed it - before he had been briefed on the report.
What tool came out of the gangs report failure?	The consensus quadrant.
Name the two axes of the consensus quadrant.	Scientific consensus on the y-axis, values consensus on the x-axis.
Which archetype occupies high scientific and high values consensus?	The tornado.
Why is advice welcome in the tornado quadrant?	Everyone agrees on the facts and on what should be done, so you can be as detailed as you like.
Which archetype occupies high scientific but low values consensus?	Abortion.
What should scientists do in the abortion quadrant?	Put down their clipboards and let the values debate play out, because it is a values debate.
Which archetype occupies low scientific and low values consensus?	Ecstasy, or recreational drug use.
Why is the ecstasy quadrant "really dangerous ground"?	There is little data and massive polarisation, so scientific debate is likely to play out through a values lens.
What should you do instead of recommending in the low-low quadrant?	Try to move the conversation forward rather than make specific recommendations.
Which archetype occupies low scientific but high values consensus?	The asteroid - everyone agrees something must be done, but nobody knows what.
State the rule about where recommendations work best.	Where there is reasonable consensus across the scientific spectrum and no major contest of values.
Which topics sat in the consensus sweet spot?	Plastic, food waste, antimicrobial resistance, and emergencies.
Which PMCSA topic was described as the hardest of all?	Commercial fishing.
Where was COVID on the quadrant in 2020?	Asteroid territory - low scientific consensus, high values consensus.
Where had COVID moved by 2022?	High scientific consensus, low values consensus.
What is counter-intuitive about COVID's trajectory?	As the science consolidated, the values consensus was lost - better evidence made the advice harder to land.
Where is AI plotted on the quadrant, and why?	In the middle, because opinion is divergent and people have not formed camps yet.
What is the "window of opportunity" for emerging technologies?	The period before polarisation sets in, when you can still have a conversation with the public and hear their concerns.
